employeeId,title,record,topic,status,summary
EMP057,Ast Emp057 13,1,Customer escalation analysis,done,"Section 1: Quarterly delivery milestones. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,2,Fabric semantic model planning,done,"Section 1: Automation backlog refinement. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,3,Fabric semantic model planning,planned,"Section 1: Operational risk review. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,4,Customer escalation analysis,done,"Section 1: Customer escalation analysis. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,5,Fabric semantic model planning,done,"Section 1: Fabric semantic model planning. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,6,Customer escalation analysis,done,"Section 1: Automation backlog refinement. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,7,Automation backlog refinement,planned,"Section 1: Customer escalation analysis. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,8,Customer escalation analysis,done,"Section 1: Automation backlog refinement. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,9,Fabric semantic model planning,planned,"Section 1: Quarterly delivery milestones. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,10,Department KPI performance,active,"Section 1: Customer escalation analysis. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,11,Automation backlog refinement,planned,"Section 1: Department KPI performance. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,12,Department KPI performance,active,"Section 1: Automation backlog refinement. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,13,Automation backlog refinement,done,"Section 1: Operational risk review. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,14,Fabric semantic model planning,done,"Section 1: Fabric semantic model planning. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,15,Customer escalation analysis,planned,"Section 1: Department KPI performance. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
EMP057,Ast Emp057 13,16,Quarterly delivery milestones,active,"Section 1: Department KPI performance. EMP057 contributes to ast emp057 13 through recurring collaboration, clear ownership boundaries, and measurable outcomes. The team captures decisions, open issues, and handoffs so that knowledge remains discoverable for future programs."
